backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,,  5.9289499999999997E-03,  1.4823053681711324E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.0191000220074784,0.011630131499259733,1.293397477128397e-07,1.5201702587209699e-07,5.789035229622158e-09,5e-07,8.334745996271595e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.13276666001183912,0.04235304550093133,1.4572237786044704e-07,1.5201702587209699e-07,7.448439417915671e-09,5e-07,8.351751387720649e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.188301787013188,0.03958088549552485,7.093507791879872e-08,1.5201702587209699e-07,3.286135207912801e-08,5e-07,9.847263593476179e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,256,8,4,float64,unknown,2,1e-08,500,40,,  1.5774949999999999E-02,  1.4093641904401339E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",1,,,,
pytorch_dense,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.26709589298116043,0.03838984550384339,1.384060421770895e-07,1.5201702587209699e-07,6.67945287226749e-09,5e-07,8.645509961376675e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.0756014590151608,0.07454004899773281,1.4199715056878677e-07,1.5201702587209699e-07,6.0673472921454615e-09,5e-07,8.852904742863517e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.2335976829926949,0.0699061144987354,7.30285266195489e-08,1.5201702587209699e-07,3.2791467334661505e-08,5e-07,9.84320824154015e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,,  2.6980950000000000E-02,  1.4405000132199563E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.02697845100192353,0.0201532109931577,1.7022600812877586e-07,1.9055943390333408e-07,6.5039417360329035e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.20490117301233113,0.1172926319995895,1.638309273262785e-07,1.9055943390333408e-07,6.723153461820362e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,78,0.2623545340029523,0.10685220750747249,1.2847716013341125e-07,1.9055943390333408e-07,6.936013581804734e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,512,8,4,float64,unknown,2,1e-08,500,76,,  3.5579050000000001E-02,  9.4754706653214163E-08,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",1,,,,
pytorch_dense,cuda,resident_inputs,512,8,4,float64,1,2,1e-08,500,76,0.2817980709951371,0.07152999450045172,1.187293867087169e-07,1.9055943390333405e-07,5.5772049390609194e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
