workload,operation,backend,device,status,n_samples,n_features,repetitions,seconds_per_operation,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
kernel_catalog_periodic,matrix,numpy_oracle,cpu,pass,256,3,24,,24256.84611803534,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_periodic,matrix,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_periodic,matrix_jvp,numpy_oracle,cpu,pass,256,3,24,,677.0073183680731,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_periodic,matrix_jvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_periodic,parameter_vjp,numpy_oracle,cpu,pass,256,3,24,,50298.98242122315,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_periodic,parameter_vjp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_periodic,parameter_hvp,numpy_oracle,cpu,pass,256,3,24,,412.9761603508087,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_periodic,parameter_hvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_periodic,input_derivatives,numpy_oracle,cpu,pass,256,3,24,,248.1514125568359,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_periodic,input_derivatives,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_rational_quadratic,matrix,numpy_oracle,cpu,pass,256,3,24,,50910.49024246803,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_rational_quadratic,matrix,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_rational_quadratic,matrix_jvp,numpy_oracle,cpu,pass,256,3,24,,3698.1464665352073,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_rational_quadratic,matrix_jvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_rational_quadratic,parameter_vjp,numpy_oracle,cpu,pass,256,3,24,,57088.6419478358,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_rational_quadratic,parameter_vjp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
