workload,phase,backend,device,status,n_samples,n_features,n_estimators,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,xgboost_version,fortml_revision,benchmark_revision,compiler,flags,notes
xgboost_squared,fit,fortml,cpu,pass,192,3,12,0.00040159975,mse,0.0023896623698615184,7.105427357601002e-14,independent NumPy exact recursive second-order tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,depth=2; L1/L2/gamma/min-child-Hessian/shrinkage matched; recursive exact split
xgboost_squared,predict,fortml,cpu,pass,192,3,12,9.090875e-06,mse,0.0023896623698615184,7.105427357601002e-14,independent NumPy exact recursive second-order tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,depth=2 recursive tree; piecewise-constant input JVP away from splits
xgboost_logistic,fit,fortml,cpu,pass,192,3,12,0.000360725,logloss,0.031036146708733506,3.694822225952521e-13,independent NumPy recursive logistic Newton tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,"depth=2; stable sigmoid, clipped base logit, exact Hessian aggregation"
xgboost_logistic,predict,fortml,cpu,pass,192,3,12,6.485375e-06,accuracy,1.0,3.694822225952521e-13,independent NumPy recursive logistic Newton tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,probability output and two-column probability product checked
xgboost_regression_staged,diagnostics,fortml,cpu,pass,192,3,12,0.0,final_stage_sum,53.408336292406815,1.0658141036401503e-13,independent NumPy cumulative exact-tree stage oracle,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,regression margins; normalized gain importance sum checked
xgboost_logistic_staged,diagnostics,fortml,cpu,pass,192,3,12,0.0,final_stage_positive_probability_sum,111.93386233281304,3.126388037344441e-13,independent NumPy cumulative logistic stage oracle,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,positive-class staged probabilities; normalized gain importance sum checked
xgboost_multiclass,fit,fortml,cpu,pass,192,3,12,0.00119745775,accuracy,1.0,4.263256414560601e-13,independent NumPy one-vs-rest recursive second-order tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,"sorted labels=-1,4,9; normalized positive OVR probabilities"
xgboost_multiclass,predict,fortml,cpu,pass,192,3,12,2.32623125e-05,accuracy,1.0,4.263256414560601e-13,independent NumPy one-vs-rest recursive second-order tree search,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,simplex sum checked at the independent row-normalization oracle
xgboost_multiclass_staged,diagnostics,fortml,cpu,pass,192,3,12,0.0,final_stage_probability_sum,192.0,1.4779288903810084e-12,independent NumPy normalized one-vs-rest stage oracle,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,probability simplex and normalized gain importance sum checked
xgboost_multiclass_staged_margin,diagnostics,fortml,cpu,pass,192,3,12,0.0,max_abs_final_margin,3.816443060176254,1.3322676295501878e-15,independent NumPy cumulative one-vs-rest margin oracle,3.14.6,2.5.1,unavailable,17a18b175a4421fae56af33a591c89dec996f3dc,6801311972b223a086cbc377e2553d3fffc47de3+dirty,gfortran,-O3,staged raw margins agree with final decision_function
