workload,basis,phase,backend,device,status,n_samples,n_inputs,n_features,n_outputs,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
basis_linear_regression,polynomial,fit_predict,numpy_oracle,cpu,pass,96,2,6,2,,prediction_rmse,1.809575329923374e-05,0.0,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,polynomial,jvp,numpy_oracle,cpu,pass,96,2,6,2,,prediction_sum,-40.04663123411657,1.7274942587519604e-10,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,polynomial,vjp,numpy_oracle,cpu,pass,96,2,6,2,,adjoint_error,1.0942802219915393e-11,1.0942802219915393e-11,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,polynomial,hvp,numpy_oracle,cpu,pass,96,2,6,2,,hvp_norm,1.79954800522091,0.0,independent NumPy directional VJP finite-difference oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,cubic_spline,fit_predict,numpy_oracle,cpu,pass,96,2,16,2,,prediction_rmse,0.23786924358925293,0.0,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,cubic_spline,jvp,numpy_oracle,cpu,pass,96,2,16,2,,prediction_sum,-25.466115240311495,2.0287558299969533e-09,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,cubic_spline,vjp,numpy_oracle,cpu,pass,96,2,16,2,,adjoint_error,3.48536488559148e-09,3.48536488559148e-09,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,cubic_spline,hvp,numpy_oracle,cpu,pass,96,2,16,2,,hvp_norm,31.302570411957117,0.0,independent NumPy directional VJP finite-difference oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,fourier,fit_predict,numpy_oracle,cpu,pass,96,2,6,2,,prediction_rmse,0.013612324384751335,0.0,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,fourier,jvp,numpy_oracle,cpu,pass,96,2,6,2,,prediction_sum,-71.19166603945578,4.4186720948857783e-10,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,fourier,vjp,numpy_oracle,cpu,pass,96,2,6,2,,adjoint_error,4.540767761795905e-11,4.540767761795905e-11,independent NumPy basis/least-squares finite-difference and adjoint oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,fourier,hvp,numpy_oracle,cpu,pass,96,2,6,2,,hvp_norm,1.6589668231477506,0.0,independent NumPy directional VJP finite-difference oracle,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,
basis_linear_regression,all,device_contract,fortml,cuda,unavailable,96,2,,2,,resident_basis_linear,FORTNUM_NOT_IMPLEMENTED,0.0,typed CUDA refusal,3.14.6,2.5.1,2f3c0ddff04ce75817038fe23a86c24baa55f97c,8e16f46b87193573c2b900632e3788b87a30dd7c,gfortran,-O2,no host fallback or GPU timing claimed
