backend,device,residency,n_samples,n_features,n_rhs,dtype,threads,repetitions,tolerance,max_iterations,iterations_max,setup_seconds,seconds_per_solve,reported_residual_norm_max,target_residual_norm_max,independent_relative_residual,independent_residual_limit,dense_solution_relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,gpu,native_cuda_kernel,torch_version,gpytorch_version,pykeops_version,cuda_device
fortml,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,,  6.3670500000000000E-03,  1.3828887909177521E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.024414680985501036,0.011501319502713159,1.293397477128397e-07,1.5201702587209699e-07,5.789035229622158e-09,5e-07,8.334745996271595e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.13621811498887837,0.04371393850306049,1.4572237786044704e-07,1.5201702587209699e-07,7.448439417915671e-09,5e-07,8.351751387720649e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,256,8,4,float64,16,2,1e-08,500,40,0.18947853898862377,0.03955683299864177,7.093507791879872e-08,1.5201702587209699e-07,3.286135207912801e-08,5e-07,9.847263593476179e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,256,8,4,float64,unknown,2,1e-08,500,40,,  1.6837000000000001E-02,  1.3261358074319392E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.26973788198665716,0.038451273503596894,1.384060421770895e-07,1.5201702587209699e-07,6.67945287226749e-09,5e-07,8.645509961376675e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.0778473989921622,0.07338843350589741,1.4199715056878677e-07,1.5201702587209699e-07,6.0673472921454615e-09,5e-07,8.852904742863517e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
gpytorch_keops,cuda,resident_inputs,256,8,4,float64,1,2,1e-08,500,40,0.2329869579989463,0.0695610490074614,7.30285266195489e-08,1.5201702587209699e-07,3.2791467334661505e-08,5e-07,9.84320824154015e-08,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
fortml,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,,  3.1758900000000000E-02,  1.2660851892940549E-07,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -mp,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
pytorch_dense,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.02881421401980333,0.020753153497935273,1.7022600812877586e-07,1.9055943390333408e-07,6.5039417360329035e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,77,0.20375696098199114,0.11797670449595898,1.638309273262785e-07,1.9055943390333408e-07,6.723153461820362e-09,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
gpytorch_keops,cpu,resident_inputs,512,8,4,float64,16,2,1e-08,500,78,0.25383420201251283,0.10735987249063328,1.2847716013341125e-07,1.9055943390333408e-07,6.936013581804734e-08,5e-07,nan,pass,,,blocked_numpy_matmat_and_small_dense_solve,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
fortml,cuda,resident_inputs,512,8,4,float64,unknown,2,1e-08,500,76,,  4.1981449999999997E-02,  9.6061798077548049E-08,,,,,pass,a1a40ffa71a2d0fbc5a9c54b93b703fa5cfa7aa8,5bce667a9ff59e99f22f65ed33972b7eb4c495d1,converged_true_residual_and_dense_multi_rhs_test,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,"NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB;NVIDIA GeForce RTX 5060 Ti, 610.43.03, 16311 MiB",0,,,,
