workload,phase,backend,device,status,n_samples,n_features,n_hidden,n_estimators,repetitions,seconds_per_operation,metric,value,mse,max_abs_error,oracle,python_version,numpy_version,sklearn_version,torch_version,jax_version,xgboost_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_training,fit,fortml,cpu,pass,96,3,8,,4,0.001250303,final_mse,0.0015205011458254412,0.0015205011458254412,3.0531133177191805e-16,independent NumPy Adam/MSE implementation,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,24 full-batch epochs; process wall=2.249571e-02s
gaussian_naive_bayes,fit,fortml,cpu,pass,192,2,,3,8,6.480875e-06,log_probability_sum,-981337.9464436336,,4.656612873077393e-10,independent NumPy weighted Gaussian density/log-softmax,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,three arbitrary integer classes; var_smoothing=1e-9
gaussian_naive_bayes,predict,fortml,cpu,pass,192,2,,3,64,1.5599390625e-05,log_probability_sum,-981337.9464436336,,4.656612873077393e-10,independent NumPy weighted Gaussian density/log-softmax,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,stable shifted log-probability normalization
gaussian_naive_bayes,jvp,fortml,cpu,pass,192,2,,3,64,2.47795e-05,log_probability_jvp_sum,1254.372277354169,,4.656612873077393e-10,independent NumPy input directional derivative,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,analytic log-softmax JVP; finite-only input contract
basis_linear_regression,fit,fortml,cpu,pass,128,1,,,8,1.286175e-05,mse,3.4915906185525344e-31,3.4915906185525344e-31,7.105427357601002e-14,independent NumPy Fourier design least-squares solve,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,one fitted Fourier frequency plus linear regression
basis_linear_regression,predict,fortml,cpu,pass,128,1,,,64,1.071875e-06,prediction_sum,118.30705401978305,,7.105427357601002e-14,independent NumPy Fourier design least-squares solve,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,packed basis and coefficient parameters
basis_linear_regression,jvp,fortml,cpu,pass,128,1,,,64,2.435984375e-06,jvp_sum,105.28373944064631,,7.105427357601002e-14,independent NumPy chained Fourier/linear directional derivative,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,"frequency, coefficients, and inputs vary together"
basis_pipeline,transform,fortml,cpu,pass,256,2,,,32,1.03783125e-05,feature_sum,2753.0921746559225,,0.0,independent NumPy polynomial/Fourier feature map,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,horizontal polynomial-plus-Fourier pipeline
basis_pipeline,jvp,fortml,cpu,pass,256,2,,,32,2.17425e-05,jvp_sum,1231.6432747014742,,0.0,independent NumPy directional derivative,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,includes Fourier log-frequency and input tangents
basis_pipeline,vjp,fortml,cpu,pass,256,2,,,32,1.1352625e-05,cotangent_sums,-5.287453498417015,,0.0,independent NumPy reverse products,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,theta_bar_sum=-5.2874534984170154E+00; x_bar_sum=1.8994573675240562E+02
regression_metrics,aggregate,fortml,cpu,pass,128,2,,,64,1.931140625e-06,mse_mae_r2_pinball,0.0036625981037084515,0.0036625981037084515,1.1102230246251565e-16,independent NumPy MSE/MAE/R2/pinball formulas,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,mae=5.3866961426155269e-02; r2=9.8704625570341964e-01; pinball(q=0.25)=2.7116673559917030e-02
cart_regressor,fit,fortml,cpu,pass,128,2,,,8,0.000108389125,mse,0.0004564795134272737,0.0004564795134272737,7.815970093361102e-14,independent NumPy exhaustive recursive CART,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,max_depth=3; min_samples_leaf=3; nodes=15
cart_regressor,predict,fortml,cpu,pass,128,2,,,64,6.77375e-07,prediction_sum,43.62121219974771,,7.815970093361102e-14,independent NumPy exhaustive recursive CART,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,piecewise constant prediction; input JVP is zero away from splits
cart_classifier,fit,fortml,cpu,pass,128,2,,,8,0.000118467,accuracy,1.0,,0.0,independent NumPy exhaustive recursive Gini CART,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,93f4331fb9cb9cd5aca58a81e9edbbcc344eb681,c6c062f8cc448c3500b18034af6edfd3ad50b2f4,gfortran,-O3,"max_depth=3; min_samples_leaf=3; classes=[-3, 7]; nodes=3"
