workload,phase,backend,device,status,n_samples,n_features,n_estimators,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
lightgbm_leafwise,contract_oracle,fortml_cpu,cpu,pass,6,1,1,0.0,max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,cuts 4.5 then 2.5; three best-first leaves
lightgbm_leafwise,oracle,fortml_cpu,cpu,pass,6,1,1,0.0,max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,
lightgbm_leafwise,fit,fortml_cpu,cpu,pass,192,3,8,0.000869,weighted_regression_fit_seconds,0.000869,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,weighted CPU best-first histogram growth
lightgbm_leafwise,predict,fortml_cpu,cpu,pass,192,3,3,1.299999999999999e-05,weighted_regression_mse,0.051268463585353745,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,
lightgbm_leafwise,staged,fortml_cpu,cpu,pass,192,3,8,1.5999999999999955e-05,final_stage_max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,cumulative linked predictions
lightgbm_leafwise,warm_start,fortml_cpu,cpu,pass,192,3,8,0.000552,full_staged_max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,four-tree prefix continuation against independent eight-tree fit
lightgbm_leafwise,warm_start_refusal,fortml_cpu,cpu,pass,192,3,8,0.0,status_code,1.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,non-growing target FORTNUM_DOMAIN_ERROR
lightgbm_leafwise,contributions,fortml_cpu,cpu,pass,192,3,8,1.7000000000000088e-05,margin_reconstruction_max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,base margin plus tree terms
lightgbm_leafwise,slice,fortml_cpu,cpu,pass,192,3,4,3.9999999999996635e-06,prefix_prediction_max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,transactional four-tree prefix
lightgbm_leafwise,persistence,fortml_cpu,cpu,pass,192,3,8,0.0006979999999999998,round_trip_prediction_max_abs_error,0.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,versioned text save/load
lightgbm_leafwise,persistence_refusal,fortml_cpu,cpu,pass,192,3,8,0.0,status_code,1.0,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,trailing-record FORTNUM_DOMAIN_ERROR (status 1)
lightgbm_leafwise,binary,fortml_cpu,cpu,pass,192,3,8,0.0,accuracy,0.9947916666666666,0.0,independent weighted Newton leaf-wise oracle,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,weighted binary-logistic objective
lightgbm_leafwise,predict,fortml_cuda,cuda,unavailable,192,3,8,,,,nan,typed_device_contract,3.14.6,2.5.1,0720482226bf849f8137d32a6ab60f81e93821a3,aa49de60bba15d8e5c81884826c5a0458554e403,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; no resident CUDA histogram kernel
