workload,phase,variant,backend,device,status,n_samples,n_features,n_hidden,n_outputs,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_adamw_beta_hypergradient,value_gradient,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,32,0.0029405432815110544,validation_mse,0.008122494604415156,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,"parameters=[-2.120263536200091, -2.659260036932778, -3.506557897319982, 1.5163474893680882, 2.313634929180631]; fd_step=2e-06; beta1=0.82; beta2=0.91"
mlp_adamw_beta_hypergradient,jvp,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,32,0.0029405432815110544,directional_validation_mse_derivative,-0.022360017031073515,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; fd_step=2e-06"
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,gradient_log_learning_rate,-0.07073384284631695,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,gradient_log_l2,0.00020876233988026405,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,gradient_log_weight_decay,0.000745563548398831,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,gradient_logit_beta1,-0.0022087148347262053,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,
mlp_adamw_beta_hypergradient,gradient_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,gradient_logit_beta2,0.0010485639348987996,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,hvp_log_learning_rate,0.09552385358407856,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; gradient_fd_step=2e-06; hvp_fd_step=0.0001"
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,hvp_log_l2,0.0017286541122152332,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; gradient_fd_step=2e-06; hvp_fd_step=0.0001"
mlp_adamw_beta_hypergradient,hvp_component,fixed_adamw_beta_logits,numpy_oracle,cpu,pass,8,1,1,1,4,1,,hvp_log_weight_decay,-0.000557676734652679,0.0,independent NumPy AdamW beta-logit recurrence,3.14.6,2.5.1,e369b7bc8cf38c1c4711db1d37e3ba64d02a6fc2,88942f83f5f10f22b729ff4bb9cfebc9e1d412d9,gfortran,-O3,"direction=[0.31, -0.27, 0.19, 0.13, -0.22]; gradient_fd_step=2e-06; hvp_fd_step=0.0001"
